Leg Side,step time formation_stride time formation,Step Time (sec.),Step Length (cm.),StartTime,Gait Cycle Time (sec.),Stride Time (sec.),Stride Length (cm.),Stride Velocity (cm./sec.),Stance Time (sec.),Stance %,Swing Time (sec.),Swing %,Single Support (sec.),Single Support %,Total D. Support (sec.),Total D. Support %
Right,0.884027777777778,0.884027777777778,0.418883496362079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Left,1.48449947589099,0.600471698113208,0.276096706021807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Right,2.09331105870021,0.608811582809224,0.594754915563754,0.884027777777778,1.20928328092243,1.20928328092243,64.6175298224499,53.4345680965341,0.733909853249476,60.6896551724138,0.475373427672956,39.3103448275862,0.475373427672956,39.3103448275862,0.25853642557652,21.3793103448276
Left,2.65208333333333,0.558772274633124,0.633277088967422,1.48449947589099,1.16758385744235,1.16758385744235,100.335568122217,85.9343570765075,0.733909853249476,62.8571428571428,0.433674004192872,37.1428571428572,0.475373427672956,40.7142857142857,0.25853642557652,22.1428571428571
Right,3.29425445492662,0.642171121593291,1.12342565080055,2.09331105870021,1.20094339622641,1.20094339622641,130.015433544665,108.261083705691,0.692210429769392,57.6388888888889,0.508732966457023,42.3611111111111,0.433674004192872,36.1111111111111,0.25853642557652,21.5277777777778
Left,3.91974580712788,0.625491352201258,0.963187434448458,2.65208333333333,1.26766247379455,1.26766247379455,163.006468079373,128.588225532495,0.767269392033543,60.5263157894737,0.500393081761006,39.4736842105263,0.508732966457023,40.1315789473684,0.25853642557652,20.3947368421052
Right,4.52021750524109,0.600471698113207,1.70322356502088,3.29425445492662,1.22596305031447,1.22596305031447,245.703612337556,200.416817027668,0.758929507337526,61.9047619047619,0.467033542976939,38.0952380952381,0.500393081761006,40.8163265306123,0.25853642557652,21.0884353741497
Right,5.91297824947589,0.817308700209644,1.12482892032241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Left,6.53846960167715,0.625491352201258,1.63463002244368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Right,7.04720256813417,0.508732966457023,0.996244182641997,5.91297824947589,1.13422431865828,1.13422431865828,292.996436050262,258.323182839933,0.75058962264151,66.1764705882353,0.383634696016771,33.8235294117647,0.508732966457023,44.8529411764706,0.241856656184487,21.3235294117647
Left,7.51423611111111,0.46703354297694,0.931723312149755,6.53846960167715,0.975766509433963,0.975766509433963,222.705765028518,228.236737862328,0.625491352201258,64.1025641025641,0.350275157232705,35.8974358974359,0.383634696016771,39.3162393162393,0.241856656184487,24.7863247863248
Right,8.12304769392033,0.608811582809223,0.713995669175828,7.04720256813417,1.07584512578616,1.07584512578616,184.440521680857,171.437800162991,0.667190775681342,62.015503875969,0.408654350104821,37.984496124031,0.350275157232705,32.5581395348838,0.316915618448637,29.4573643410853
Left,8.64012054507337,0.51707285115304,0.412451600650003,7.51423611111111,1.12588443396226,1.12588443396226,132.513350526216,117.697115733157,0.742249737945492,65.9259259259259,0.383634696016772,34.0740740740741,0.408654350104821,36.2962962962962,0.333595387840671,29.6296296296296
Right,9.25727201257862,0.617151467505241,0.406888449827767,8.12304769392033,1.13422431865828,1.13422431865828,89.7673008675905,79.1442216419586,0.72556996855346,63.9705882352941,0.408654350104822,36.0294117647059,0.383634696016772,33.8235294117647,0.341935272536688,30.1470588235294
Left,9.86608359538784,0.608811582809224,0.22814949632326,8.64012054507337,1.22596305031447,1.22596305031447,71.3370904022256,58.1886137464969,0.825648584905661,67.3469387755102,0.400314465408805,32.6530612244898,0.408654350104822,33.3333333333333,0.416994234800839,34.0136054421769
